filename,source_type,chars,lines,tokens,tokens_per_1k_chars,tokens_per_line
acas_guides__age-discrimination.txt,acas_guides,17854,279,3531,197.77,12.66
acas_guides__bullying-at-work.txt,acas_guides,6581,113,1367,207.72,12.1
acas_guides__changing-your-employees-contracts.txt,acas_guides,44398,619,8407,189.36,13.58
acas_guides__deductions-from-pay-and-wages.txt,acas_guides,8053,126,1623,201.54,12.88
acas_guides__disability-discrimination.txt,acas_guides,16471,236,3095,187.91,13.11
acas_guides__disciplinary-procedure.txt,acas_guides,17414,278,3327,191.05,11.97
acas_guides__discrimination-at-work.txt,acas_guides,28163,438,5404,191.88,12.34
acas_guides__dismissals.txt,acas_guides,15338,233,3038,198.07,13.04
acas_guides__employment-contracts-and-the-law.txt,acas_guides,14003,215,2771,197.89,12.89
acas_guides__equality-diversity-and-inclusion.txt,acas_guides,13111,219,2480,189.15,11.32
acas_guides__fit-notes-when-off-sick.txt,acas_guides,6562,104,1392,212.13,13.38
acas_guides__formal-grievance-procedure.txt,acas_guides,16986,280,3407,200.58,12.17
acas_guides__maternity-leave-and-pay.txt,acas_guides,27155,414,5816,214.18,14.05
acas_guides__mediation-at-work.txt,acas_guides,7977,144,1563,195.94,10.85
acas_guides__paternity-leave-and-pay.txt,acas_guides,31704,461,6713,211.74,14.56
acas_guides__pay-for-working-extra-hours.txt,acas_guides,1743,28,345,197.93,12.32
acas_guides__performance-management.txt,acas_guides,10047,171,1981,197.17,11.58
acas_guides__pregnancy-and-maternity-discrimination.txt,acas_guides,15913,235,3020,189.78,12.85
acas_guides__race-discrimination.txt,acas_guides,16147,254,3145,194.77,12.38
acas_guides__reasonable-adjustments-at-work.txt,acas_guides,31569,493,6004,190.19,12.18
acas_guides__sex-discrimination.txt,acas_guides,11755,190,2295,195.24,12.08
acas_guides__shared-parental-leave-and-pay.txt,acas_guides,20577,291,4315,209.7,14.83
acas_guides__sick-leave.txt,acas_guides,5026,88,1029,204.74,11.69
acas_guides__statutory-flexible-working-requests.txt,acas_guides,35635,576,7064,198.23,12.26
acas_guides__tupe.txt,acas_guides,35648,564,6894,193.39,12.22
acas_guides__your-rights-during-redundancy.txt,acas_guides,26177,411,5415,206.86,13.18
codes__code-of-practice-on-disciplinary-and-grievance-procedures.txt,codes,19038,196,3691,193.88,18.83
codes__code-of-practice-on-requests-for-flexible-working.txt,codes,15844,192,3040,191.87,15.83
codes__code-of-practice-on-time-off-for-trade-union-duties-and-activities-including-guidance-on-time-off-for-union-learning-representatives.txt,codes,54430,621,10484,192.61,16.88
codes__settlement-agreements-under-section-111a-of-the-employment-rights-act-1996.txt,codes,15232,160,2949,193.61,18.43
doctrine__equalitylaw.txt,doctrine,20380,385,4173,204.76,10.84
doctrine__flexibleworking.txt,doctrine,13788,246,2854,206.99,11.6
doctrine__keyemploymentrights.txt,doctrine,121208,2108,25998,214.49,12.33
doctrine__redundancy.txt,doctrine,1186,21,247,208.26,11.76
doctrine__unfairdismissal.txt,doctrine,16137,277,3342,207.1,12.06
doctrine__zerohourcontracts.txt,doctrine,29880,512,6467,216.43,12.63
govuk__001_gov_employmentstatus.txt,govuk,11930,268,2442,204.69,9.11
govuk__002_gov_employmentcontractsandconditions.txt,govuk,6210,137,1274,205.15,9.3
govuk__003_gov_agencyworkersyourrights.txt,govuk,8445,194,1869,221.31,9.63
govuk__004_gov_employmentstatusguidance.txt,govuk,45067,710,9124,202.45,12.85
govuk__005_gov_nationalminimumwage.txt,govuk,7772,180,1707,219.63,9.48
govuk__006_gov_understandingyourpay.txt,govuk,4850,108,1093,225.36,10.12
govuk__007_gov_paye.txt,govuk,5206,119,1159,222.63,9.74
govuk__008_gov_weeklyworkinghours.txt,govuk,4050,95,938,231.6,9.87
govuk__009_gov_restbreaks.txt,govuk,5328,117,1187,222.79,10.15
govuk__010_gov_overtimerights.txt,govuk,1896,44,414,218.35,9.41
govuk__011_gov_holidayentitlement.txt,govuk,12248,244,2852,232.85,11.69
govuk__012_gov_ssp.txt,govuk,3228,75,774,239.78,10.32
govuk__015_gov_neonatalcare.txt,govuk,6649,141,1595,239.89,11.31
govuk__016_gov_sharedparentalleave.txt,govuk,13804,288,3287,238.12,11.41
govuk__017_gov_unpaidparentalleave.txt,govuk,3162,70,712,225.17,10.17
govuk__018_gov_flexibleworking.txt,govuk,6824,160,1401,205.3,8.76
govuk__019_gov_redundancy.txt,govuk,11302,248,2428,214.83,9.79
govuk__020_gov_dismissal.txt,govuk,5462,115,1146,209.81,9.97
govuk__021_gov_tupe.txt,govuk,11361,246,2313,203.59,9.4
govuk__022_gov_whistleblowing.txt,govuk,2554,55,540,211.43,9.82
govuk__023_gov_discrimination.txt,govuk,3463,87,670,193.47,7.7
govuk__024_gov_disciplinaryprocedures.txt,govuk,5325,114,1077,202.25,9.45
govuk__025_gov_timeoff.txt,govuk,3355,76,767,228.61,10.09
govuk__026_gov_grievances.txt,govuk,3693,79,782,211.75,9.9
