run_id,experiment_name,variant,mode,protocol_version,logging_schema_version,base_model,use_4bit,gradient_checkpointing,seed,rank,alpha,max_steps,effective_batch_size_sequences,max_seq_length,baseline_ppl_all,best_ppl_all,final_ppl_all,train_runtime_s,train_steps_per_second,status,_source_path,baseline_eval_peak_vram_allocated_gb,baseline_eval_peak_vram_reserved_gb,baseline_ppl_layer_a,baseline_ppl_layer_b,best_ppl_layer_a,best_ppl_layer_b,best_step,delta_best_ppl_all,delta_best_ppl_layer_a,delta_best_ppl_layer_b,delta_final_ppl_all,delta_final_ppl_layer_a,delta_final_ppl_layer_b,eval_steps,final_ppl_layer_a,final_ppl_layer_b,final_step,gradient_accumulation_steps,last_completed_step,learning_rate,logging_steps,lora_dropout,max_eval_peak_vram_allocated_gb,max_eval_peak_vram_reserved_gb,max_grad_norm,min_grad_norm,num_inf_loss_events,num_nan_loss_events,num_nonfinite_events,num_nonfinite_grad_norm_events,num_oom_events,optimizer_reset_count,per_device_eval_batch_size,per_device_train_batch_size,run_peak_vram_allocated_gb,run_peak_vram_reserved_gb,save_steps,step_time_mean_s,step_time_p50_s,step_time_p95_s,step_time_sample_count,step_time_std_s,terminated_early,termination_reason,train_peak_vram_allocated_gb,train_peak_vram_reserved_gb,warmup_ratio,weight_decay
llama3_8b_lora_l40_protocol_v3_phase1_r16_seed42__1776438275,llama3_8b_lora_l40_protocol_v3_phase1_r16_seed42,lora,train_and_eval,protocol_v3,logging_v2,meta-llama/Meta-Llama-3-8B,False,False,42,16,32,350,8,1024,7.96124154702041,7.266511787024003,7.266511787024003,1085.6701,0.322,completed,outputs/experiments/protocol_v3/llama3_8b_lora_l40_protocol_v3_phase1_r16_seed42/reports/comparison_row.json,16.196958541870117,16.46484375,8.277392581842097,5.078121797068957,7.5721154110683,4.576082429892875,350,-0.6947297599964068,-0.7052771707737966,-0.5020393671760823,-0.6947297599964068,-0.7052771707737966,-0.5020393671760823,50,7.5721154110683,4.576082429892875,350,4,350,0.0002,10,0.05,16.38231372833252,31.2265625,0.464600145816803,0.25114062428474426,0,0,0,0,0,0,1,2,16.38231325149536,31.2265625,50,1.9882623734019165,1.9834724271809683,2.0016947646993213,7,0.008330747362921245,False,completed,15.125940799713135,31.2265625,0.05,0.01
llama3_8b_lora_l40_protocol_v3_phase1_r16_seed43__1776439424,llama3_8b_lora_l40_protocol_v3_phase1_r16_seed43,lora,train_and_eval,protocol_v3,logging_v2,meta-llama/Meta-Llama-3-8B,False,False,43,16,32,350,8,1024,7.96124154702041,7.269486182795859,7.269486182795859,1088.8724,0.321,completed,outputs/experiments/protocol_v3/llama3_8b_lora_l40_protocol_v3_phase1_r16_seed43/reports/comparison_row.json,16.196958541870117,16.46484375,8.277392581842097,5.078121797068957,7.574599956794987,4.577143027205859,350,-0.6917553642245506,-0.7027926250471097,-0.5009787698630976,-0.6917553642245506,-0.7027926250471097,-0.5009787698630976,50,7.574599956794987,4.577143027205859,350,4,350,0.0002,10,0.05,16.38231372833252,31.2265625,0.4979918599128723,0.2517249584197998,0,0,0,0,0,0,1,2,16.38231325149536,31.2265625,50,1.9925140482466668,1.9940632459614427,2.0004559218487703,7,0.006803515387641176,False,completed,15.125940799713135,31.2265625,0.05,0.01
llama3_8b_lora_l40_protocol_v3_phase1_r16_seed44__1776440575,llama3_8b_lora_l40_protocol_v3_phase1_r16_seed44,lora,train_and_eval,protocol_v3,logging_v2,meta-llama/Meta-Llama-3-8B,False,False,44,16,32,350,8,1024,7.96124154702041,7.265148459928398,7.265148459928398,1091.6039,0.321,completed,outputs/experiments/protocol_v3/llama3_8b_lora_l40_protocol_v3_phase1_r16_seed44/reports/comparison_row.json,16.196958541870117,16.46484375,8.277392581842097,5.078121797068957,7.570855393482882,4.57523478348307,350,-0.6960930870920112,-0.7065371883592153,-0.5028870135858874,-0.6960930870920112,-0.7065371883592153,-0.5028870135858874,50,7.570855393482882,4.57523478348307,350,4,350,0.0002,10,0.05,16.38231372833252,31.2265625,0.4894864559173584,0.25194603204727173,0,0,0,0,0,0,1,2,16.38231325149536,31.2265625,50,1.9973592313798143,1.9954355959733947,2.0069343756376767,7,0.005758018993877997,False,completed,15.125940799713135,31.2265625,0.05,0.01
llama3_8b_qlora_l40_protocol_v3_phase1_r16_seed42__1776782871,llama3_8b_qlora_l40_protocol_v3_phase1_r16_seed42,qlora,train_and_eval,protocol_v3,logging_v2,meta-llama/Meta-Llama-3-8B,True,False,42,16,32,350,8,1024,8.316989216966332,7.411231969053123,7.411231969053123,2694.5849,0.13,completed,outputs/experiments/protocol_v3/llama3_8b_qlora_l40_protocol_v3_phase1_r16_seed42/reports/comparison_row.json,8.768091201782227,9.31640625,8.646641110051549,5.311128582088765,7.722270220411801,4.675294882779572,350,-0.9057572479132094,-0.9243708896397482,-0.6358336993091926,-0.9057572479132094,-0.9243708896397482,-0.6358336993091926,50,7.722270220411801,4.675294882779572,350,4,350,0.0002,10,0.05,8.709317207336426,14.216796875,0.46159154176712036,0.2938384711742401,0,0,0,0,0,0,1,2,8.709316730499268,14.216796875,50,4.968158738734325,4.967231583999528,4.973833320477977,7,0.0035345364890919237,False,completed,7.437320232391357,14.216796875,0.05,0.01
llama3_8b_qlora_l40_protocol_v3_phase1_r16_seed43__1776443933,llama3_8b_qlora_l40_protocol_v3_phase1_r16_seed43,qlora,train_and_eval,protocol_v3,logging_v2,meta-llama/Meta-Llama-3-8B,True,False,43,16,32,350,8,1024,8.316989216966332,7.413253664602583,7.413253664602583,2688.7174,0.13,completed,outputs/experiments/protocol_v3/llama3_8b_qlora_l40_protocol_v3_phase1_r16_seed43/reports/comparison_row.json,8.768091201782227,9.31640625,8.646641110051549,5.311128582088765,7.724402546412773,4.677424958585711,350,-0.9037355523637496,-0.9222385636387758,-0.6337036235030542,-0.9037355523637496,-0.9222385636387758,-0.6337036235030542,50,7.724402546412773,4.677424958585711,350,4,350,0.0002,10,0.05,8.709317207336426,14.216796875,0.4713030457496643,0.28777340054512024,0,0,0,0,0,0,1,2,8.709316730499268,14.216796875,50,4.957723052487043,4.960996500630863,4.963067523085978,7,0.005484079949761098,False,completed,7.437320232391357,14.216796875,0.05,0.01
llama3_8b_qlora_l40_protocol_v3_phase1_r16_seed44__1776445865,llama3_8b_qlora_l40_protocol_v3_phase1_r16_seed44,qlora,train_and_eval,protocol_v3,logging_v2,meta-llama/Meta-Llama-3-8B,True,False,44,16,32,350,8,1024,8.316989216966332,7.412995620312591,7.412995620312591,2683.3983,0.13,completed,outputs/experiments/protocol_v3/llama3_8b_qlora_l40_protocol_v3_phase1_r16_seed44/reports/comparison_row.json,8.768091201782227,9.31640625,8.646641110051549,5.311128582088765,7.724861128653589,4.671683609516331,350,-0.9039935966537413,-0.9217799813979601,-0.6394449725724334,-0.9039935966537413,-0.9217799813979601,-0.6394449725724334,50,7.724861128653589,4.671683609516331,350,4,350,0.0002,10,0.05,8.709317207336426,14.216796875,0.4724915623664856,0.29594549536705017,0,0,0,0,0,0,1,2,8.709316730499268,14.216796875,50,4.947077841673578,4.946913102674298,4.954447308663279,7,0.004762735490406029,False,completed,7.437320232391357,14.216796875,0.05,0.01
llama3_8b_qlora_l40_protocol_v3_phase2_r32_seed42__1776439568,llama3_8b_qlora_l40_protocol_v3_phase2_r32_seed42,qlora,train_and_eval,protocol_v3,logging_v2,meta-llama/Meta-Llama-3-8B,True,False,42,32,64,350,8,1024,8.316989216966332,7.383336350400535,7.383336350400535,2677.0969,0.131,completed,outputs/experiments/protocol_v3/llama3_8b_qlora_l40_protocol_v3_phase2_r32_seed42/reports/comparison_row.json,8.768091201782227,9.31640625,8.646641110051549,5.311128582088765,7.695913459123449,4.634540927893142,350,-0.9336528665657973,-0.9507276509281004,-0.6765876541956226,-0.9336528665657973,-0.9507276509281004,-0.6765876541956226,50,7.695913459123449,4.634540927893142,350,4,350,0.0002,10,0.05,8.887051582336426,14.470703125,0.4891490340232849,0.34433630108833313,0,0,0,0,0,0,1,2,8.887051105499268,14.470703125,50,4.932607258909515,4.934071354623884,4.938354517750442,7,0.005052985353064782,False,completed,7.589663982391357,14.470703125,0.05,0.01
llama3_8b_qlora_l40_protocol_v3_phase2_r32_seed43__1776524912,llama3_8b_qlora_l40_protocol_v3_phase2_r32_seed43,qlora,train_and_eval,protocol_v3,logging_v2,meta-llama/Meta-Llama-3-8B,True,False,43,32,64,350,8,1024,8.316989216966332,7.381526078549463,7.381526078549463,2715.3206,0.129,completed,outputs/experiments/protocol_v3/llama3_8b_qlora_l40_protocol_v3_phase2_r32_seed43/reports/comparison_row.json,8.768091201782227,9.31640625,8.646641110051549,5.311128582088765,7.694667697659493,4.640502153866472,350,-0.9354631384168695,-0.9519734123920562,-0.6706264282222927,-0.9354631384168695,-0.9519734123920562,-0.6706264282222927,50,7.694667697659493,4.640502153866472,350,4,350,0.0002,10,0.05,8.887051582336426,14.470703125,0.5291473269462585,0.35087352991104126,0,0,0,0,0,0,1,2,8.887051105499268,14.470703125,50,5.007544589570856,5.005242221010849,5.014269381888676,7,0.003923059062030694,False,completed,7.589663982391357,14.470703125,0.05,0.01
llama3_8b_qlora_l40_protocol_v3_phase2_r32_seed44__1776783323,llama3_8b_qlora_l40_protocol_v3_phase2_r32_seed44,qlora,train_and_eval,protocol_v3,logging_v2,meta-llama/Meta-Llama-3-8B,True,False,44,32,64,350,8,1024,8.316989216966332,7.384801966043569,7.384801966043569,2717.3301,0.129,completed,outputs/experiments/protocol_v3/llama3_8b_qlora_l40_protocol_v3_phase2_r32_seed44/reports/comparison_row.json,8.768091201782227,9.31640625,8.646641110051549,5.311128582088765,7.697860479899984,4.637831563448872,350,-0.9321872509227633,-0.9487806301515649,-0.673297018639893,-0.9321872509227633,-0.9487806301515649,-0.673297018639893,50,7.697860479899984,4.637831563448872,350,4,350,0.0002,10,0.05,8.887051582336426,14.470703125,0.6196871399879456,0.35237953066825867,0,0,0,0,0,0,1,2,8.887051105499268,14.470703125,50,5.0095117053681415,5.015807378560712,5.0169203983235935,7,0.008055736309398204,False,completed,7.589663982391357,14.470703125,0.05,0.01
llama3_8b_qlora_l40_protocol_v3_phase2_r64_seed42__1776867625,llama3_8b_qlora_l40_protocol_v3_phase2_r64_seed42,qlora,train_and_eval,protocol_v3,logging_v2,meta-llama/Meta-Llama-3-8B,True,False,42,64,128,350,8,1024,8.316989216966332,7.382125346426498,7.382125346426498,2715.3735,0.129,completed,outputs/experiments/protocol_v3/llama3_8b_qlora_l40_protocol_v3_phase2_r64_seed42/reports/comparison_row.json,8.768091201782227,9.31640625,8.646641110051549,5.311128582088765,7.698510208105226,4.6176702307482635,350,-0.934863870539834,-0.9481309019463229,-0.6934583513405013,-0.934863870539834,-0.9481309019463229,-0.6934583513405013,50,7.698510208105226,4.6176702307482635,350,4,350,0.0002,10,0.05,9.242520332336426,14.98046875,0.6759954690933228,0.3940935730934143,0,0,0,0,0,0,1,2,9.242519855499268,14.98046875,50,4.973223567172203,4.9763664412609065,4.981600086545281,7,0.006631774909423688,False,completed,7.894351482391357,14.98046875,0.05,0.01
